Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K)
641,780.00,2.000,-16.858,0.1669,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.442,-2.088,0.336,0.055,0.186
642,779.50,2.000,-16.859,0.1668,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.440,-2.087,0.336,0.054,0.186
643,779.00,2.000,-16.861,0.1667,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.438,-2.086,0.335,0.054,0.186
644,778.50,2.000,-16.862,0.1666,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.437,-2.084,0.335,0.054,0.186
645,778.00,2.000,-16.863,0.1665,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.435,-2.083,0.335,0.054,0.185
646,777.50,2.000,-16.864,0.1664,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.433,-2.082,0.334,0.054,0.185
647,777.00,2.000,-16.865,0.1663,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.431,-2.080,0.334,0.054,0.185
648,776.50,2.000,-16.866,0.1661,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.429,-2.079,0.334,0.054,0.185
649,776.00,2.000,-16.867,0.1660,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.427,-2.077,0.333,0.054,0.185
650,775.50,2.000,-16.868,0.1659,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.425,-2.076,0.333,0.054,0.185
651,775.00,2.000,-16.869,0.1657,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.422,-2.074,0.333,0.054,0.184
652,774.50,2.000,-16.870,0.1656,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.420,-2.072,0.332,0.054,0.184
653,774.00,2.000,-16.872,0.1654,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.418,-2.070,0.332,0.054,0.184
654,773.50,2.000,-16.873,0.1653,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.415,-2.068,0.331,0.054,0.184
655,773.00,2.000,-16.874,0.1651,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.413,-2.066,0.331,0.054,0.184
656,772.50,2.000,-16.875,0.1649,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.410,-2.064,0.330,0.054,0.183
657,772.00,2.000,-16.876,0.1647,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.407,-2.062,0.330,0.054,0.183
658,771.50,2.000,-16.877,0.1646,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.404,-2.060,0.330,0.054,0.183
659,771.00,2.000,-16.878,0.1644,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.402,-2.058,0.329,0.054,0.183
660,770.50,2.000,-16.879,0.1642,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.399,-2.056,0.329,0.054,0.183
661,770.00,2.000,-16.880,0.1640,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.396,-2.053,0.328,0.054,0.182
662,769.50,2.000,-16.882,0.1638,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.393,-2.051,0.328,0.053,0.182
663,769.00,2.000,-16.883,0.1636,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.389,-2.048,0.327,0.053,0.182
664,768.50,2.000,-16.884,0.1634,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.386,-2.046,0.327,0.053,0.182
665,768.00,2.000,-16.885,0.1632,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.383,-2.043,0.326,0.053,0.181
666,767.50,2.000,-16.886,0.1630,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.380,-2.041,0.326,0.053,0.181
667,767.00,2.000,-16.887,0.1627,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.376,-2.038,0.325,0.053,0.181
668,766.50,2.000,-16.888,0.1625,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.373,-2.035,0.325,0.053,0.181
669,766.00,2.000,-16.890,0.1623,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.369,-2.032,0.324,0.053,0.180
670,765.50,2.000,-16.891,0.1620,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.366,-2.030,0.323,0.053,0.180
671,765.00,2.000,-16.892,0.1618,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.362,-2.027,0.323,0.053,0.180
672,764.50,2.000,-16.893,0.1615,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.358,-2.024,0.322,0.053,0.179
673,764.00,2.000,-16.894,0.1613,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.354,-2.021,0.322,0.053,0.179
674,763.50,2.000,-16.895,0.1610,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.350,-2.017,0.321,0.053,0.179
675,763.00,2.000,-16.897,0.1608,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.346,-2.014,0.321,0.052,0.179
676,762.50,2.000,-16.898,0.1605,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.342,-2.011,0.320,0.052,0.178
677,762.00,2.000,-16.899,0.1602,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.338,-2.008,0.319,0.052,0.178
678,761.50,2.000,-16.900,0.1600,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.334,-2.004,0.319,0.052,0.178
679,761.00,2.000,-16.901,0.1597,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.330,-2.001,0.318,0.052,0.177
680,760.50,2.000,-16.902,0.1594,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.325,-1.997,0.317,0.052,0.177
681,760.00,2.000,-16.904,0.1591,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.321,-1.994,0.317,0.052,0.177
682,759.50,2.000,-16.905,0.1588,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.316,-1.990,0.316,0.052,0.176
683,759.00,2.000,-16.906,0.1585,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.312,-1.986,0.315,0.052,0.176
684,758.50,2.000,-16.907,0.1582,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.307,-1.983,0.315,0.052,0.176
685,758.00,2.000,-16.909,0.1579,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.302,-1.979,0.314,0.052,0.175
686,757.50,2.000,-16.910,0.1576,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.298,-1.975,0.313,0.051,0.175
687,757.00,2.000,-16.911,0.1572,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.293,-1.971,0.312,0.051,0.174
688,756.50,2.000,-16.912,0.1569,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.288,-1.967,0.312,0.051,0.174
689,756.00,2.000,-16.913,0.1566,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.283,-1.963,0.311,0.051,0.174
690,755.50,2.000,-16.915,0.1562,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.278,-1.959,0.310,0.051,0.173
691,755.00,2.000,-16.916,0.1559,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.273,-1.954,0.309,0.051,0.173
692,754.50,2.000,-16.917,0.1555,3.0625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.8202,0.0000,0.0000,42.3866,1.7932,0.0000,0.0000,0.0000,0.0000,-2.267,-1.950,0.309,0.051,0.172
693,754.00,2.000,-16
