Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
10,1095.50,2.000,-9.181,0.5230,4.3447,0.0000,7.8129,18.8862,37.2420,0.0000,25.7655,0.0000,10.2934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.432,-3.873,1.139,0.120,0.530,0.000000,-0.135914,0.451763,0.494728,0.189424
10,1095.50,2.000,-9.181,0.3181,3.9962,0.0000,2.9799,41.2174,23.1389,0.0000,17.1392,0.0000,15.5245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.211,-3.232,0.715,0.080,0.361,0.000000,0.032507,0.247079,0.656815,0.063598
11,1095.00,2.000,-9.198,0.5213,4.3460,0.0000,7.8526,18.8134,37.2401,0.0000,25.8206,0.0000,10.2733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.408,-3.856,1.135,0.120,0.528,0.000000,-0.136391,0.451940,0.493980,0.190470
11,1095.00,2.000,-9.198,0.3550,3.9951,0.0000,2.9725,41.3046,23.0591,0.0000,17.1236,0.0000,15.5401,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.702,-3.611,0.797,0.089,0.403,0.000000,0.033291,0.246117,0.657181,0.063412
12,1094.50,2.000,-9.215,0.5197,4.3474,0.0000,7.8923,18.7412,37.2376,0.0000,25.8755,0.0000,10.2533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.388,-3.841,1.131,0.120,0.526,0.000000,-0.136863,0.452109,0.493238,0.191516
12,1094.50,2.000,-9.215,0.3915,3.9940,0.0000,2.9652,41.3912,22.9798,0.0000,17.1082,0.0000,15.5556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.191,-3.988,0.880,0.098,0.445,0.000000,0.034069,0.245162,0.657542,0.063227
13,1094.00,2.000,-9.233,0.5185,4.3487,0.0000,7.9319,18.6697,37.2346,0.0000,25.9303,0.0000,10.2335,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.370,-3.827,1.128,0.119,0.525,0.000000,-0.137332,0.452268,0.492501,0.192562
13,1094.00,2.000,-9.233,0.4278,3.9929,0.0000,2.9580,41.4771,22.9011,0.0000,17.0930,0.0000,15.5709,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.676,-4.362,0.961,0.107,0.486,0.000000,0.034842,0.244214,0.657899,0.063045
14,1093.50,2.000,-9.250,0.5175,4.3499,0.0000,7.9716,18.5987,37.2309,0.0000,25.9849,0.0000,10.2139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.355,-3.816,1.126,0.119,0.524,0.000000,-0.137797,0.452419,0.491769,0.193608
14,1093.50,2.000,-9.250,0.4638,3.9919,0.0000,2.9507,41.5625,22.8228,0.0000,17.0779,0.0000,15.5861,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.158,-4.734,1.042,0.116,0.527,0.000000,0.035612,0.243273,0.658252,0.062864
