Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
105,1048.00,2.000,-10.811,0.1068,3.3257,44.3399,3.5464,9.2281,3.2218,0.0000,5.1916,0.0000,12.2009,0.0000,0.0000,22.0524,0.2190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.671,-1.360,0.236,0.032,0.123,0.380986,0.099932,0.162473,0.249992,-0.050389,0.141114,0.015892
106,1047.50,2.000,-10.830,1.6569,3.4424,34.4153,10.4857,15.1242,3.5222,0.0000,4.3815,0.0000,9.0470,0.0000,0.0000,22.8527,0.1714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-25.665,-20.925,3.589,0.481,1.868,0.109362,0.052277,0.139929,0.584521,0.017729,0.083489,0.012693
106,1047.50,2.000,-10.830,0.2689,3.3256,44.3648,3.5309,9.2145,3.2125,0.0000,5.2078,0.0000,12.2048,0.0000,0.0000,22.0452,0.2194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.205,-3.422,0.593,0.081,0.309,0.381057,0.100218,0.162977,0.249368,-0.050643,0.141104,0.015919
107,1047.00,2.000,-10.849,1.6678,3.4428,34.3933,10.5030,15.1398,3.5136,0.0000,4.3904,0.0000,9.0357,0.0000,0.0000,22.8527,0.1715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-25.831,-21.063,3.612,0.484,1.880,0.108364,0.052213,0.140220,0.585526,0.017757,0.083218,0.012701
107,1047.00,2.000,-10.849,0.4296,3.3255,44.3895,3.5156,9.2011,3.2032,0.0000,5.2241,0.0000,12.2087,0.0000,0.0000,22.0380,0.2198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.719,-5.468,0.947,0.129,0.494,0.381120,0.100503,0.163482,0.248750,-0.050894,0.141093,0.015946
108,1046.50,2.000,-10.868,1.6790,3.4432,34.3715,10.5202,15.1553,3.5050,0.0000,4.3992,0.0000,9.0245,0.0000,0.0000,22.8527,0.1716,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.002,-21.205,3.635,0.488,1.892,0.107373,0.052148,0.140512,0.586523,0.017783,0.082950,0.012710
108,1046.50,2.000,-10.868,0.5892,3.3254,44.4139,3.5003,9.1878,3.1941,0.0000,5.2404,0.0000,12.2125,0.0000,0.0000,22.0308,0.2202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.213,-7.499,1.299,0.177,0.677,0.381177,0.100787,0.163987,0.248138,-0.051144,0.141082,0.015972
109,1046.00,2.000,-10.887,1.6906,3.4436,34.3498,10.5373,15.1706,3.4964,0.0000,4.4081,0.0000,9.0133,0.0000,0.0000,22.8527,0.1717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.178,-21.351,3.659,0.491,1.905,0.106387,0.052084,0.140804,0.587514,0.017809,0.082684,0.012719
109,1046.00,2.000,-10.887,0.7475,3.3253,44.4381,3.4853,9.1747,3.1850,0.0000,5.2566,0.0000,12.2162,0.0000,0.0000,22.0236,0.2205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.687,-9.514,1.647,0.225,0.859,0.381226,0.101071,0.164492,0.247531,-0.051391,0.141071,0.015999
110,1045.50,2.000,-10.906,1.7024,3.4440,34.3283,10.5542,15.1859,3.4879,0.0000,4.4170,0.0000,9.0022,0.0000,0.0000,22.8527,0.1719,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.358,-21.501,3.684,0.494,1.918,0.105408,0.052019,0.141095,0.588497,0.017834,0.082419,0.012727
110,1045.50,2.000,-10.906,0.9047,3.3252,44.4621,3.4703,9.1616,3.1759,0.0000,5.2729,0.0000,12.2198,0.0000,0.0000,22.0164,0.2209,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.143,-11.514,1.993,0.272,1.039,0.381269,0.101353,0.164998,0.246930,-0.051638,0.141061,0.016026
111,1045.00,2.000,-10.925,1.7146,3.4444,34.3069,10.5710,15.2011,3.4794,0.0000,4.4258,0.0000,8.9910,0.0000,0.0000,22.8528,0.1720,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.544,-21.655,3.709,0.498,1.932,0.104433,0.051955,0.141387,0.589473,0.017859,0.082157,0.012736
111,1045.00,2.000,-10.925,1.0607,3.3251,44.4859,3.4554,9.1487,3.1670,0.0000,5.2892,0.0000,12.2233,0.0000,0.0000,22.0092,0.2213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-16.580,-13.500,2.337,0.319,1.219,0.381306,0.101634,0.165504,0.246335,-0.051882,0.141050,0.016053
112,1044.50,2.000,-10.944,1.7271,3.4448,34.2858,10.5877,15.2161,3.4710,0.0000,4.4347,0.0000,8.9799,0.0000,0.0000,22.8528,0.1721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.734,-21.812,3.735,0.501,1.946,0.103465,0.051890,0.141679,0.590442,0.017882,0.081897,0.012745
