Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),    tephroite,     fayalite,   co-olivine,   ni-olivine, monticellite,   forsterite
316,942.50,2.000,-14.258,5.6470,3.5744,36.3782,0.0000,0.0000,0.0000,0.0000,32.8296,0.8106,29.7892,0.0000,0.0000,0.1924,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-74.195,-59.567,12.033,1.580,6.351,0.009436,0.377355,0.000000,0.000000,0.005667,0.607542
317,942.00,2.000,-14.277,5.5596,3.5758,36.3621,0.0000,0.0000,0.0000,0.0000,32.9052,0.8208,29.7195,0.0000,0.0000,0.1923,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-72.985,-58.595,11.842,1.555,6.250,0.009560,0.378391,0.000000,0.000000,0.005668,0.606382
318,941.50,2.000,-14.295,5.4734,3.5772,36.3461,0.0000,0.0000,0.0000,0.0000,32.9803,0.8312,29.6500,0.0000,0.0000,0.1923,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-71.795,-57.639,11.655,1.530,6.151,0.009685,0.379422,0.000000,0.000000,0.005668,0.605224
319,941.00,2.000,-14.314,5.3887,3.5786,36.3302,0.0000,0.0000,0.0000,0.0000,33.0551,0.8417,29.5808,0.0000,0.0000,0.1922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-70.625,-56.699,11.470,1.506,6.053,0.009811,0.380450,0.000000,0.000000,0.005669,0.604070
320,940.50,2.000,-14.332,5.3052,3.5800,36.3143,0.0000,0.0000,0.0000,0.0000,33.1296,0.8522,29.5117,0.0000,0.0000,0.1922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-69.474,-55.774,11.288,1.482,5.957,0.009939,0.381473,0.000000,0.000000,0.005670,0.602918
321,940.00,2.000,-14.350,5.2231,3.5814,36.2984,0.0000,0.0000,0.0000,0.0000,33.2036,0.8629,29.4429,0.0000,0.0000,0.1921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-68.343,-54.865,11.110,1.458,5.862,0.010068,0.382493,0.000000,0.000000,0.005671,0.601768
322,939.50,2.000,-14.368,5.1423,3.5827,36.2826,0.0000,0.0000,0.0000,0.0000,33.2773,0.8737,29.3743,0.0000,0.0000,0.1921,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-67.230,-53.971,10.934,1.435,5.769,0.010198,0.383509,0.000000,0.000000,0.005671,0.600622
323,939.00,2.000,-14.387,5.0627,3.5841,36.2669,0.0000,0.0000,0.0000,0.0000,33.3506,0.8847,29.3059,0.0000,0.0000,0.1920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-66.135,-53.092,10.761,1.413,5.677,0.010330,0.384520,0.000000,0.000000,0.005672,0.599477
324,938.50,2.000,-14.405,4.9844,3.5855,36.2512,0.0000,0.0000,0.0000,0.0000,33.4235,0.8957,29.2377,0.0000,0.0000,0.1919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-65.059,-52.227,10.590,1.390,5.587,0.010464,0.385528,0.000000,0.000000,0.005672,0.598336
325,938.00,2.000,-14.423,4.9072,3.5869,36.2355,0.0000,0.0000,0.0000,0.0000,33.4961,0.9069,29.1697,0.0000,0.0000,0.1919,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-64.000,-51.377,10.423,1.368,5.498,0.010599,0.386532,0.000000,0.000000,0.005673,0.597197
326,937.50,2.000,-14.441,4.8313,3.5882,36.2199,0.0000,0.0000,0.0000,0.0000,33.5682,0.9181,29.1019,0.0000,0.0000,0.1918,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-62.959,-50.540,10.258,1.346,5.411,0.010735,0.387531,0.000000,0.000000,0.005673,0.596060
327,937.00,2.000,-14.458,4.7566,3.5896,36.2044,0.0000,0.0000,0.0000,0.0000,33.6400,0.9295,29.0343,0.0000,0.0000,0.1917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-61.935,-49.718,10.095,1.325,5.325,0.010873,0.388527,0.000000,0.000000,0.005674,0.594926
328,936.50,2.000,-14.476,4.6831,3.5910,36.1889,0.0000,0.0000,0.0000,0.0000,33.7114,0.9410,28.9670,0.0000,0.0000,0.1917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-60.928,-48.909,9.936,1.304,5.240,0.011012,0.389518,0.000000,0.000000,0.005674,0.593795
329,936.00,2.000,-14.494,4.6107,3.5923,36.1734,0.0000,0.0000,0.0000,0.0000,33.7824,0.9527,28.8999,0.0000,0.0000,0.1916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-59.938,-48.114,9.779,1.283,5.157,0.011153,0.390506,0.000000,0.000000,0.005675,0.592666
330,935.50,2.000,-14.511,4.5394,3.5937,36.1580,0.0000,0.0000,0.0000,0.0000,33.8531,0.9644,28.8329,0.0000,0.0000,0.1915,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-58.964,-47.332,9.624,1.263,5.075,0.011296,0.391489,0.000000,0.000000,0.005675,0.591540
331,935.00,2.000,-14.529,4.4693,3.5950,36.1427,0.0000,0.0000,0.0000,0.0000,33.9234,0.9763,28.7662,0.0000,0.0000,0.1914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-58.007,-46.563,9.472,1.243,4.995,0.011440,0.392468,0.000000,0.000000,0.005675,0.590417
332,934.50,2.000,-14.547,4.4003,3.5964,36.1274,0.0000,0.0000,0.0000,0.0000,33.9932,0.9883,28.6997,0.0000,0.0000,0.1914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-57.065,-45.807,9.322,1.224,4.916,0.011585,0.393443,0.000000,0.000000,0.005675,0.589296
333,934.00,2.000,-14.564,4.3323,3.5977,36.1121,0.0000,0.0000,0.0000,0.0000,34.0627,1.0004,28.6334,0.0000,0.0000,0.1913,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-56.139,-45.063,9.175,1.204,4.838,0.011732,0.394414,0.000000,0.000000,0.005675,0.588178
334,933.50,2.000,-14.581,4.2654,3.5990,36.0969,0.0000,0.0000,0.0000,0.0000,34.1319,1.0127,28.5673,0.0000,0.0000,0.1912,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-55.228,-44.332,9.030,1.185,4.761,0.011881,0.395381,0.000000,0.000000,0.005675,0.587062
335,933.00,2.000,-14.599,4.1996,3.6004,36.0817,0.0000,0.0000,0.0000,0.0000,34.2006,1.0250,28.5015,0.0000,0.0000,0.1911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-54.332,-43.613,8.888,1.166,4.686,0.012031,0.396344,0.000000,0.000000,0.005675,0.585949
336,932.50,2.000,-14.616,4.1348,3.6017,36.0666,0.0000,0.0000,0.0000,0.0000,34.2690,1.0375,28.4358,0.0000,0.0000,0.1911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.452,-42.905,8.747,1.148,4.612,0.012183,0.397302,0.000000,0.000000,0.005675,0.584839
337,932.00,2.000,-14.633,4.0710,3.6030,36.0516,0.0000,0.0000,0.0000,0.0000,34.3369,1.0502,28.3704,0.0000,0.0000,0.1910,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-52.586,-42.210,8.609,1.130,4.539,0.012337,0.398257,0.000000,0.000000,0.005675,0.583731
338,931.50,2.000,-14.650,4.0083,3.6044,36.0366,0.0000,0.0000,0.0000,0.0000,34.4045,1.0629,28.3051,0.0000,0.0000,0.1909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-51.734,-41.526,8.474,1.112,4.467,0.012492,0.399207,0.000000,0.000000,0.005675,0.582626
339,931.00,2.000,-14.667,3.9465,3.6057,36.0216,0.0000,0.0000,0.0000,0.0000,34.4717,1.0758,28.2401,0.0000,0.0000,0.1908,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-50.896,-40.854,8.340,1.095,4.396,0.012648,0.400153,0.000000,0.000000,0.005675,0.581524
340,930.50,2.000,-14.684,3.8857,3.6070,36.0067,0.0000,0.0000,0.0000,0.0000,34.5385,1.0888,28.1752,0.0000,0.0000,0.1907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-50.073,-40.192,8.209,1.077,4.327,0.012807,0.401095,0.000000,0.000000,0.005675,0.580424
341,930.00,2.000,-14.701,3.8258,3.6083,35.9918,0.0000,0.0000,0.0000,0.0000,34.6050,1.1020,28.1106,0.0000,0.0000,0.1906,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.263,-39.542,8.079,1.060,4.258,0.012967,0.402032,0.000000,0.000000,0.005675,0.579327
342,929.50,2.000,-14.718,3.7669,3.6096,35.9770,0.0000,0.0000,0.0000,0.0000,34.6710,1.1153,28.0462,0.0000,0.0000,0.1905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-48.466,-38.903,7.952,1.044,4.191,0.013128,0.402965,0.000000,0.000000,0.005674,0.578232
343,929.00,2.000,-14.735,3.7089,3.6109,35.9622,0.0000,0.0000,0.0000,0.0000,34.7367,1.1287,27.9820,0.0000,0.0000,0.1904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47.683,-38.274,7.827,1.027,4.125,0.013292,0.403894,0.000000,0.000000,0.005674,0.577140
344,928.50,2.000,-14.751,3.6518,3.6122,35.9475,0.0000,0.0000,0.0000,0.0000,34.8019,1.1422,27.9180,0.0000,0.0000,0.1904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46.913,-37.656,7.704,1.011,4.060,0.013457,0.404819,0.000000,0.000000,0.005674,0.576051
345,928.00,2.000,-14.768,3.5957,3.6135,35.9328,0.0000,0.0000,0.0000,0.0000,34.8668,1.1559,27.8542,0.0000,0.0000,0.1903,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46.156,-37.048,7.583,0.995,3.996,0.013623,0.405739,0.000000,0.000000,0.005673,0.574964
346,927.50,2.000,-14.784,3.5404,3.6148,35.9182,0.0000,0.0000,0.0000,0.0000,34.9313,1.1697,27.7906,0.0000,0.0000,0.1902,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45.411,-36.450,7.463,0.979,3.933,0.013792,0.406655,0.000000,0.000000,0.005673,0.573880
347,927.00,2.000,-14.801,3.4860,3.6161,35.9036,0.0000,0.0000,0.0000,0.0000,34.9954,1.1837,27.7273,0.0000,0.0000,0.1901,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.679,-35.862,7.346,0.964,3.871,0.013962,0.407567,0.000000,0.000000,0.005672,0.572799
348,926.50,2.000,-14.817,3.4325,3.6174,35.8891,0.0000,0.0000,0.0000,0.0000,35.0591,1.1977,27.6641,0.0000,0.0000,0.1900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.959,-35.284,7.231,0.949,3.810,0.014134,0.408474,0.000000,0.000000,0.005672,0.571720
349,926.00,2.000,-14.834,3.3798,3.6187,35.8746,0.0000,0.0000,0.0000,0.0000,35.1224,1.2120,27.6011,0.0000,0.0000,0.1899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.251,-34.716,7.117,0.934,3.750,0.014307,0.409377,0.000000,0.000000,0.005671,0.570644
350,925.50,2.000,-14.850,3.3279,3.6200,35.8602,0.0000,0.0000,0.0000,0.0000,35.1854,1.2263,27.5384,0.0000,0.0000,0.1898,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-42.554,-34.157,7.006,0.919,3.691,0.014483,0.410276,0.000000,0.000000,0.005670,0.569571
351,925.00,2.000,-14.866,3.2769,3.6213,35.8458,0.0000,0.0000,0.0000,0.0000,35.2479,1.2408,27.4758,0.0000,0.0000,0.1897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-41.870,-33.608,6.896,0.905,3.633,0.014660,0.411170,0.000000,0.000000,0.005670,0.568500
352,924.50,2.000,-14.882,3.2267,3.6226,35.8314,0.0000,0.0000,0.0000,0.0000,35.3101,1.2555,27.4134,0.0000,0.0000,0.1896,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-41.197,-33.068,6.788,0.891,3.576,0.014839,0.412060,0.000000,0.000000,0.005669,0.567432
353,924.00,2.000,-14.898,3.1773,3.6238,35.8171,0.0000,0.0000,0.0000,0.0000,35.3718,1.2703,27.3513,0.0000,0.0000,0.1895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40.535,-32.537,6.681,0.877,3.519,0.015019,0.412945,0.000000,0.000000,0.005668,0.566367
354,923.50,2.000,-14.914,3.1286,3.6251,35.8029,0.0000,0.0000,0.0000,0.0000,35.4332,1.2852,27.2894,0.0000,0.0000,0.1894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.884,-32.014,6.577,0.863,3.464,0.015202,0.413826,0.000000,0.000000,0.005667,0.565304
355,923.00,2.000,-14.930,3.0808,3.6264,35.7887,0.0000,0.0000,0.0000,0.0000,35.4942,1.3002,27.2276,0.0000,0.0000,0.1893,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.245,-31.501,6.474,0.850,3.410,0.015386,0.414703,0.000000,0.000000,0.005666,0.564245
356,922.50,2.000,-14.946,3.0337,3.6276,35.7745,0.0000,0.0000,0.0000,0.0000,35.5548,1.3154,27.1661,0.0000,0.0000,0.1892,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-38.616,-30.996,6.373,0.836,3.356,0.015572,0.415575,0.000000,0.000000,0.005665,0.563187
357,922.00,2.000,-14.962,2.9873,3.6289,35.7604,0.0000,0.0000,0.0000,0.0000,35.6149,1.3308,27.1048,0.0000,0.0000,0.1891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.997,-30.500,6.273,0.823,3.304,0.015760,0.416443,0.000000,0.000000,0.005664,0.562133
358,921.50,2.000,-14.978,2.9417,3.6301,35.7464,0.0000,0.0000,0.0000,0.0000,35.6747,1.3463,27.0436,0.0000,0.0000,0.1889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-37.389,-30.012,6.175,0.810,3.252,0.015950,0.417306,0.000000,0.000000,0.005663,0.561081
359,921.00,2.000,-14.993,2.8968,3.6314,35.7324,0.0000,0.0000,0.0000,0.0000,35.7342,1.3619,26.9827,0.0000,0.0000,0.1888,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.791,-29.532,6.079,0.798,3.201,0.016141,0.418165,0.000000,0.000000,0.005662,0.560032
360,920.50,2.000,-15.009,2.8527,3.6326,35.7184,0.0000,0.0000,0.0000,0.0000,35.7932,1.3777,26.9220,0.0000,0.0000,0.1887,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.203,-29.060,5.984,0.785,3.151,0.016335,0.419019,0.000000,0.000000,0.005661,0.558985
361,920.00,2.000,-15.024,2.8092,3.6339,35.7045,0.0000,0.0000,0.0000,0.0000,35.8518,1.3936,26.8615,0.0000,0.0000,0.1886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.625,-28.596,5.891,0.773,3.102,0.016530,0.419869,0.000000,0.000000,0.005660,0.557941
362,919.50,2.000,-15.040,2.7665,3.6351,35.6906,0.0000,0.0000,0.0000,0.0000,35.9100,1.4097,26.8012,0.0000,0.0000,0.1885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.057,-28.141,5.799,0.761,3.054,0.016727,0.420714,0.000000,0.000000,0.005659,0.556900
363,919.00,2.000,-15.055,2.7244,3.6364,35.6768,0.0000,0.0000,0.0000,0.0000,35.9678,1.4259,26.7411,0.0000,0.0000,0.1884,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-34.499,-27.692,5.709,0.749,3.006,0.016926,0.421555,0.000000,0.000000,0.005657,0.555862
364,918.50,2.000,-15.071,2.6830,3.6376,35.6631,0.0000,0.0000,0.0000,0.0000,36.0253,1.4423,26.6812,0.0000,0.0000,0.1883,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-33.949,-27.252,5.621,0.738,2.959,0.017127,0.422391,0.000000,0.000000,0.005656,0.554826
365,918.00,2.000,-15.086,2.6423,3.6388,35.6493,0.0000,0.0000,0.0000,0.0000,36.0823,1.4588,26.6215,0.0000,0.0000,0.1881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-33.409,-26.818,5.533,0.726,2.913,0.017330,0.423222,0.000000,0.000000,0.005655,0.553793
366,917.50,2.000,-15.101,2.6022,3.6400,35.6357,0.0000,0.0000,0.0000,0.0000,36.1389,1.4754,26.5620,0.0000,0.0000,0.1880,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-32.879,-26.393,5.447,0.715,2.868,0.017534,0.424050,0.000000,0.000000,0.005653,0.552763
367,917.00,2.000,-15.116,2.5628,3.6413,35.6220,0.0000,0.0000,0.0000,0.0000,36.1952,1.4922,26.5027,0.0000,0.0000,0.1879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-32.357,-25.974,5.363,0.704,2.823,0.017741,0.424872,0.000000,0.000000,0.005652,0.551736
368,916.50,2.000,-15.131,2.5240,3.6425,35.6084,0.0000,0.0000,0.0000,0.0000,36.2510,1.5092,26.4436,0.0000,0.0000,0.1878,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-31.844,-25.562,5.280,0.693,2.779,0.017949,0.425690,0.000000,0.000000,0.005650,0.550711
369,916.00,2.000,-15.146,2.4858,3.6437,35.5949,0.0000,0.0000,0.0000,0.0000,36.3065,1.5263,26.3847,0.0000,0.0000,0.1877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-31.339,-25.158,5.198,0.682,2.736,0.018159,0.426503,0.000000,0.000000,0.005649,0.549689
370,915.50,2.000,-15.161,2.4483,3.6449,35.5814,0.0000,0.0000,0.0000,0.0000,36.3615,1.5435,26.3260,0.0000,0.0000,0.1875,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-30.844,-24.760,5.118,0.672,2.694,0.018372,0.427312,0.000000,0.000000,0.005647,0.548669
371,915.00,2.000,-15.176,2.4113,3.6461,35.5680,0.0000,0.0000,0.0000,0.0000,36.4162,1.5609,26.2675,0.0000,0.0000,0.1874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-30.356,-24.369,5.039,0.661,2.652,0.018586,0.428116,0.000000,0.000000,0.005645,0.547653
372,914.50,2.000,-15.191,2.3750,3.6473,35.5546,0.0000,0.0000,0.0000,0.0000,36.4705,1.5785,26.2092,0.0000,0.0000,0.1873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-29.877,-23.985,4.962,0.651,2.611,0.018802,0.428916,0.000000,0.000000,0.005644,0.546639
373,914.00,2.000,-15.205,2.3392,3.6485,35.5412,0.0000,0.0000,0.0000,0.0000,36.5243,1.5962,26.1511,0.0000,0.0000,0.1872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-29.406,-23.607,4.885,0.641,2.571,0.019020,0.429711,0.000000,0.000000,0.005642,0.545628
374,913.50,2.000,-15.220,2.3041,3.6497,35.5279,0.0000,0.0000,0.0000,0.0000,36.5778,1.6140,26.0932,0.0000,0.0000,0.1870,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-28.943,-23.235,4.810,0.631,2.532,0.019240,0.430501,0.000000,0.000000,0.005640,0.544619
375,913.00,2.000,-15.235,2.2695,3.6509,35.5147,0.0000,0.0000,0.0000,0.0000,36.6309,1.6320,26.0355,0.0000,0.0000,0.1869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-28.488,-22.870,4.736,0.622,2.493,0.019462,0.431287,0.000000,0.000000,0.005638,0.543613
376,912.50,2.000,-15.249,2.2354,3.6521,35.5015,0.0000,0.0000,0.0000,0.0000,36.6836,1.6502,25.9780,0.0000,0.0000,0.1868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-28.041,-22.511,4.664,0.612,2.454,0.019686,0.432068,0.000000,0.000000,0.005636,0.542610
377,912.00,2.000,-15.263,2.2019,3.6533,35.4883,0.0000,0.0000,0.0000,0.0000,36.7359,1.6685,25.9207,0.0000,0.0000,0.1866,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.601,-22.159,4.592,0.603,2.417,0.019911,0.432844,0.000000,0.000000,0.005635,0.541610
378,911.50,2.000,-15.278,2.1690,3.6545,35.4752,0.0000,0.0000,0.0000,0.0000,36.7878,1.6870,25.8636,0.0000,0.0000,0.1865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.169,-21.812,4.522,0.594,2.380,0.020139,0.433616,0.000000,0.000000,0.005633,0.540613
379,911.00,2.000,-15.292,2.1366,3.6556,35.4621,0.0000,0.0000,0.0000,0.0000,36.8393,1.7056,25.8067,0.0000,0.0000,0.1864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.744,-21.471,4.453,0.584,2.343,0.020369,0.434383,0.000000,0.000000,0.005631,0.539618
380,910.50,2.000,-15.306,2.1047,3.6568,35.4491,0.0000,0.0000,0.0000,0.0000,36.8904,1.7244,25.7500,0.0000,0.0000,0.1862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-26.326,-21.136,4.385,0.576,2.307,0.020600,0.435145,0.000000,0.000000,0.005629,0.538626
381,910.00,2.000,-15.320,2.0733,3.6580,35.4361,0.0000,0.0000,0.0000,0.0000,36.9411,1.7433,25.6935,0.0000,0.0000,0.1861,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-25.916,-20.807,4.318,0.567,2.272,0.020834,0.435903,0.000000,0.000000,0.005626,0.537636
382,909.50,2.000,-15.334,2.0425,3.6592,35.4232,0.0000,0.0000,0.0000,0.0000,36.9914,1.7623,25.6371,0.0000,0.0000,0.1859,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-25.512,-20.483,4.252,0.558,2.237,0.021070,0.436656,0.000000,0.000000,0.005624,0.536650
383,909.00,2.000,-15.348,2.0121,3.6603,35.4103,0.0000,0.0000,0.0000,0.0000,37.0413,1.7816,25.5810,0.0000,0.0000,0.1858,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-25.116,-20.165,4.188,0.550,2.203,0.021307,0.437405,0.000000,0.000000,0.005622,0.535666
384,908.50,2.000,-15.362,1.9823,3.6615,35.3974,0.0000,0.0000,0.0000,0.0000,37.0909,1.8010,25.5251,0.0000,0.0000,0.1857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-24.726,-19.853,4.124,0.541,2.170,0.021547,0.438148,0.000000,0.000000,0.005620,0.534685
385,908.00,2.000,-15.376,1.9529,3.6626,35.3846,0.0000,0.0000,0.0000,0.0000,37.1400,1.8205,25.4694,0.0000,0.0000,0.1855,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-24.343,-19.545,4.062,0.533,2.137,0.021789,0.438887,0.000000,0.000000,0.005618,0.533706
386,907.50,2.000,-15.390,1.9241,3.6638,35.3719,0.0000,0.0000,0.0000,0.0000,37.1887,1.8402,25.4138,0.0000,0.0000,0.1854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-23.966,-19.243,4.000,0.525,2.105,0.022032,0.439622,0.000000,0.000000,0.005615,0.532731
387,907.00,2.000,-15.404,1.8957,3.6649,35.3592,0.0000,0.0000,0.0000,0.0000,37.2371,1.8600,25.3585,0.0000,0.0000,0.1852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-23.596,-18.947,3.940,0.517,2.073,0.022278,0.440352,0.000000,0.000000,0.005613,0.531758
388,906.50,2.000,-15.417,1.8677,3.6661,35.3465,0.0000,0.0000,0.0000,0.0000,37.2850,1.8800,25.3033,0.0000,0.0000,0.1851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-23.233,-18.655,3.881,0.509,2.041,0.022525,0.441077,0.000000,0.000000,0.005611,0.530788
389,906.00,2.000,-15.431,1.8402,3.6672,35.3339,0.0000,0.0000,0.0000,0.0000,37.3326,1.9002,25.2484,0.0000,0.0000,0.1849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22.875,-18.368,3.822,0.502,2.011,0.022775,0.441797,0.000000,0.000000,0.005608,0.529820
390,905.50,2.000,-15.445,1.8132,3.6684,35.3213,0.0000,0.0000,0.0000,0.0000,37.3798,1.9205,25.1936,0.0000,0.0000,0.1848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22.524,-18.086,3.765,0.494,1.980,0.023026,0.442513,0.000000,0.000000,0.005606,0.528855
391,905.00,2.000,-15.458,1.7866,3.6695,35.3088,0.0000,0.0000,0.0000,0.0000,37.4266,1.9409,25.1391,0.0000,0.0000,0.1847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22.179,-17.809,3.709,0.487,1.951,0.023280,0.443224,0.000000,0.000000,0.005603,0.527893
392,904.50,2.000,-15.471,1.7605,3.6706,35.2963,0.0000,0.0000,0.0000,0.0000,37.4730,1.9615,25.0847,0.0000,0.0000,0.1845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21.839,-17.537,3.653,0.480,1.921,0.023535,0.443930,0.000000,0.000000,0.005600,0.526934
393,904.00,2.000,-15.485,1.7348,3.6718,35.2839,0.0000,0.0000,0.0000,0.0000,37.5190,1.9823,25.0305,0.0000,0.0000,0.1843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21.506,-17.270,3.599,0.472,1.893,0.023793,0.444632,0.000000,0.000000,0.005598,0.525977
394,903.50,2.000,-15.498,1.7095,3.6729,35.2715,0.0000,0.0000,0.0000,0.0000,37.5646,2.0032,24.9765,0.0000,0.0000,0.1842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21.178,-17.007,3.545,0.465,1.865,0.024053,0.445329,0.000000,0.000000,0.005595,0.525024
